ex_id,ex_name,ex_type,ideal_stage_id,ex_desc
22,Swimming,Low-impact cardiovascular exercise,2,"Swimming is a low-impact cardiovascular exercise that can be gentle on the joints and muscles, making it a good option during the follicular phase. Swimming can help improve cardiovascular fitness, strengthen muscles, and increase endurance. You can swim laps, do water aerobics, or simply enjoy leisurely swimming as a form of exercise."
23,Walking,Low-impact cardiovascular exercise,2,"Walking is a low-impact exercise that can be easily incorporated into your routine during the follicular phase. Walking can help improve cardiovascular fitness, boost mood, and promote overall well-being. You can take brisk walks outdoors or on a treadmill, gradually increasing your pace and distance as your fitness level improves."
24,Stretching and Flexibility Exercises,Stretching and flexibility exercises like dynamic stretching or gentle yoga flows,2,"Stretching and flexibility exercises, such as dynamic stretching or gentle yoga flows, can help improve flexibility, mobility, and relaxation during the follicular phase. Dynamic stretching involves movements that mimic the exercises you will be doing and can help prepare your muscles for exercise. Gentle yoga flows can help promote relaxation, flexibility, and body awareness. Focus on stretching major muscle groups, such as hips, hamstrings, shoulders, and back, and choose gentle stretches that feel comfortable for your body."
13,Cardiovascular Exercises,"Aerobic exercises like running, cycling, or dancing",3,"Cardiovascular exercises, such as running, cycling, dancing, or other forms of aerobic exercise, can help improve cardiovascular fitness, boost mood, and increase energy levels during the ovulation phase. Higher estrogen levels during this phase may also enhance endurance and performance. Choose exercises that you enjoy and that suit your fitness level, and aim for moderate to vigorous intensity workouts for maximum benefits."
14,Interval Training,Alternating periods of high-intensity and low-intensity exercises,3,"Interval training, which involves alternating periods of high-intensity exercises with periods of low-intensity recovery, can be a great option during the ovulation phase. This type of workout can help improve cardiovascular fitness, boost metabolism, and increase endurance. You can customize interval workouts based on your fitness level and preferences, such as running intervals, cycling intervals, or bodyweight exercises combined with cardio bursts."
15,Dance or Zumba,Dance-based workouts,3,"Dancing or Zumba workouts, which combine dance movements with aerobic exercise, can be a fun and enjoyable way to get moving during the ovulation phase. They can help improve cardiovascular fitness, increase energy levels, and boost mood. You can take a dance class, follow online dance tutorials, or join a Zumba class to add some variety and excitement to your exercise routine."
16,Pilates,Core-strengthening exercises,3,"Pilates is a form of exercise that focuses on core strength, stability, and flexibility. During the ovulation phase, when energy levels may be higher, you can incorporate Pilates exercises that challenge your core muscles, such as plank variations, leg circles, or scissor exercises. Pilates can help improve posture, enhance body awareness, and promote overall strength and flexibility."
17,Outdoor Activities,"Outdoor exercises like hiking, biking, or outdoor sports",3,"Outdoor activities like hiking, biking, or playing outdoor sports can be a great way to take advantage of the favorable weather during the ovulation phase and get some fresh air and sunshine. These activities can help improve cardiovascular fitness, boost mood, and provide a change of scenery from indoor workouts. Choose activities that you enjoy and that suit your fitness level and preferences for maximum benefits."
18,Stretching and Flexibility Exercises,Stretching and flexibility exercises like yoga or stretching routines,3,"Stretching and flexibility exercises, such as yoga or dedicated stretching routines, can help improve flexibility, mobility, and relaxation during the ovulation phase. These exercises can be done as a standalone routine or in combination with other exercises to promote overall well-being and support recovery after more intense workouts. Focus on stretching major muscle groups, such as hips, hamstrings, shoulders, and back, and choose gentle stretches that feel comfortable for your body."
7,Strength Training,Resistance exercises with weights or resistance bands,4,"Strength training exercises, such as weightlifting or resistance band exercises, can help improve muscle tone, increase strength, and boost metabolism. During the luteal phase, when estrogen and progesterone levels are higher, you may have more energy for resistance training. Focus on major muscle groups like legs, arms, back, and core, and choose weights or resistance bands that challenge you at your fitness level."
8,High-Intensity Interval Training (HIIT),"Cardiovascular and strength exercises in short, intense bursts",4,"HIIT workouts involve alternating periods of high-intensity exercises with short periods of rest. They can be a time-efficient way to improve cardiovascular fitness, build strength, and burn calories. During the luteal phase, when energy levels may be higher, you may have the stamina for short bursts of high-intensity exercises like sprints, burpees, or jump squats."
9,Yoga,Stretching and relaxation exercises,4,"Yoga poses that focus on stretching, relaxation, and stress reduction can be particularly beneficial during the luteal phase, as they can help alleviate muscle tension, reduce stress, and improve mood. Poses like forward folds, gentle twists, and restorative poses can be helpful during this phase. Avoid inverted poses like headstands or handstands if you feel uncomfortable due to hormonal changes or premenstrual symptoms."
10,Walking or Light Aerobic Exercise,Low-impact cardiovascular exercise,4,"Walking, light jogging, or other low-impact aerobic exercises can help improve cardiovascular fitness, boost mood, and promote overall well-being during the luteal phase. These exercises can be a good option if you prefer a lower-intensity workout or if you experience fatigue or discomfort during this phase of your menstrual cycle."
11,Mindful Exercises,"Relaxation exercises, such as meditation or deep breathing",4,"Mindful exercises, such as meditation, deep breathing, or gentle stretching, can help reduce stress, promote relaxation, and improve mood during the luteal phase. These exercises can be done as a standalone routine or in combination with other exercises to help manage stress and support overall well-being during this phase."
12,Low-Impact Exercises,Gentle exercises that minimize joint impact,4,"Low-impact exercises like swimming, cycling, or using an elliptical machine can provide a good cardiovascular workout without putting excessive strain on joints during the luteal phase. These exercises can be beneficial if you experience increased joint sensitivity or discomfort due to hormonal changes during this phase."
